STATION_ID,STATION_NAME,STATION_X,STATION_Y,target,level,level-target
1647,예래입구,126.40464,33.25869,0,1,1&0
1648,예래입구,126.40442,33.25862,0,1,1&0
1665,창천리,126.37153,33.26541,1,1,1&1
1666,창천리,126.37082,33.26598,1,1,1&1
1670,하원동,126.4606,33.25413,2,1,1&2
1675,신시가지,126.50628,33.24978,66,1,1&66
1676,성산하이츠빌라,126.5048,33.25011,66,1,1&66
1696,회수동,126.44392,33.263690000000004,3,1,1&3
1699,제주월드컵경기장서귀포버스터미널,126.509,33.24912,4,1,1&4
1702,대림한숲빌라,126.50598,33.25165,66,1,1&66
1709,하원초등학교,126.45985,33.25347,2,1,1&2
1710,하원초등학교,126.46007,33.253170000000004,2,1,1&2
1715,월평알동네,126.46036,33.24343,5,1,1&5
1716,월평알동네,126.46055,33.24327,5,1,1&5
1731,수모루,126.52443999999998,33.24593,6,1,1&6
1768,수모루,126.52415,33.24657,6,1,1&6
1784,중앙로터리(동),126.56135,33.25297,22,1,1&22
1802,주공34단지,126.57187,33.2501,7,1,1&7
1803,주공아파트,126.57221,33.25108,7,1,1&7
1804,주공2아파트,126.57185,33.25225,7,1,1&7
1817,효돈중학교,126.62143,33.26348,8,1,1&8
1832,뒤통모루,126.66707,33.27526,9,1,1&9
1833,뒤통모루,126.66689,33.2754,9,1,1&9
1851,심향사,126.6224,33.29543,10,1,1&10
1854,만지동,126.62675,33.29325,11,1,1&11
1855,만지동,126.62658,33.2929,11,1,1&11
1860,신례초등학교,126.63263,33.28518,56,1,1&56
1861,신례초등학교,126.63326,33.28393,56,1,1&56
1868,서귀포산업과학고등학교,126.59512,33.29573,12,1,1&12
1869,서귀포산업과학고등학교,126.59557,33.295970000000004,12,1,1&12
1873,심향사,126.62207,33.29547,10,1,1&10
1883,법호촌입구,126.59386,33.29008,13,1,1&13
1884,법호촌입구,126.59457,33.29065,13,1,1&13
1885,법호촌온성학교,126.59449,33.29186,13,1,1&13
1886,법호촌온성학교,126.59475,33.29282,13,1,1&13
1887,서귀포산업과학고등학교,126.59487,33.29515,12,1,1&12
1889,하례2리,126.60599,33.28929,14,1,1&14
1890,서귀포농업기술센터,126.60635,33.2886,14,1,1&14
1910,동홍분식,126.56816,33.26676,15,1,1&15
1911,동홍분식,126.56835,33.26671,15,1,1&15
1912,동홍동청소년문화의집,126.56872,33.26588,15,1,1&15
1913,동홍동청소년문화의집,126.56863,33.26608,15,1,1&15
1914,서귀포향토오일시장,126.57394,33.26574,16,1,1&16
1915,서귀포향토오일시장,126.57399,33.265640000000005,16,1,1&16
1926,평안전문요양원,126.58845,33.28135,17,1,1&17
1927,평안전문요양원,126.58827,33.28068,17,1,1&17
1929,꽃동산,126.58863999999998,33.27942,17,1,1&17
1930,뒷빌레,126.58979,33.27391,18,1,1&18
1931,뒷빌레,126.58965,33.273270000000004,18,1,1&18
1932,토평마을회관,126.5898,33.27192,18,1,1&18
1934,토평마을회관,126.58975,33.27053,18,1,1&18
1951,중문관광단지,126.41271,33.2522,19,1,1&19
1952,(구)중앙파출소,126.56089,33.2476,20,1,1&20
1954,동미빌딩,126.56658,33.24866,21,1,1&21
1957,중앙로터리,126.56058,33.25285,22,1,1&22
1964,송산동주민센터,126.56561,33.24537,23,1,1&23
1966,서귀포중학교,126.56875,33.24765,21,1,1&21
1971,서귀포중학교,126.56906,33.247679999999995,21,1,1&21
1973,주공2단지,126.57252,33.2548,24,1,1&24
1981,고갠드르,126.52419,33.25472,25,1,1&25
1984,서호입구,126.52424,33.24757,6,1,1&6
1985,서호입구,126.52439,33.247640000000004,6,1,1&6
1999,벼락동산,126.39242,33.24783,70,1,1&70
2000,정문동,126.39367,33.24938,26,1,1&26
2001,정문동,126.39363,33.24965,26,1,1&26
2004,상예입구,126.40434,33.2576,0,1,1&0
2005,상예입구,126.40448,33.2578,0,1,1&0
2008,서귀포항,126.5645,33.23977,27,1,1&27
2013,신라호텔,126.40793,33.24775,33,1,1&33
