STATION_ID,STATION_NM,CENTER_YN,LOCAL_X,LOCAL_Y,USE_YN,STATION_ADDR
405000152,남서광마을입구,N,126.521267,33.499683,Y,제주시 삼도1동
405000156,한국병원,N,126.518076,33.500054,Y,제주시 삼도1동
405000158,용천마을,N,126.51995,33.501547,Y,제주시 삼도1동
405000163,보건소,N,126.522067,33.492117,Y,제주시 도남동
405000169,광양사거리,N,126.527103,33.500473,Y,제주시 이도1동
405000171,탐라장애인 종합복지관,N,126.525833,33.500017,Y,제주시 이도1동
405000173,남서광마을,N,126.523759,33.499789,Y,제주시 삼도1동
405000176,월구마을,N,126.507,33.500133,Y,제주시 오라3동
405000177,오라3동,N,126.503183,33.49925,Y,제주시 오라3동
405000178,명신마을,N,126.503028,33.499623,Y,제주시 용담2동
405000180,명주주택,N,126.493758,33.49567,Y,제주시 연동
405000181,문서교,N,126.614191,33.528154,Y,제주시 조천읍 신촌리
405000183,진드르,N,126.608128,33.524196,Y,제주시 조천읍 신촌리
405000184,진드르,N,126.606917,33.523667,Y,제주시 조천읍 신촌리
405000191,은남동,N,126.490897,33.485822,Y,제주시 연동
405000194,도호동,N,126.495011,33.48581,Y,제주시 연동
405000199,함덕리(4구),N,126.673231,33.539982,Y,제주시 조천읍 함덕리
405000202,신사동,N,126.675754,33.534836,Y,제주시 조천읍 함덕리
405000203,신사동,N,126.675601,33.534663,Y,제주시 조천읍 함덕리
405000207,제주대학교,N,126.561624,33.459893,Y,제주시 아라2동
405000210,제대아파트,N,126.5573,33.4589,Y,제주시 아라동
405000215,제주대학교입구,N,126.550757,33.456718,Y,제주시 아라동
405000217,서해아파트,N,126.541533,33.504883,Y,제주시 일도2동
406000404,향토오일시장,N,126.575167,33.267433,Y,서귀포시 동홍동
406000405,대포동,N,126.431682,33.242927,Y,서귀포시 대포동
406000410,제석공원,N,126.56731,33.24612,Y,서귀포시 서귀동
406000411,서귀포 YWCA,N,126.565292,33.244572,Y,서귀포시 서귀동
405000356,수협제주도지회,N,126.495217,33.4897,Y,제주시 연동
405000358,이호동 동마을,N,126.46095,33.5003,Y,제주시 이호1동
405000360,이호동주민센터,N,126.458267,33.498767,Y,제주시 이호1동
405000361,이호테우해수욕장,N,126.455461,33.496234,Y,제주시 이호2동
405000363,월랑초등학교,N,126.4791,33.49265,Y,제주시 노형동
